as_of,ticker,setup_name,direction,strength,spot_at_setup,ret_1d,ret_5d,correct_1d,correct_5d,vix_at_setup,vix_regime,weekly_trend,weekly_ribbon_agreement,pct_change_1w,pct_change_4w,composite_score,grade,cat_technical,cat_vol_vix,cat_catalyst,cat_macro_breadth,cat_liquidity
2026-02-17,DIA,pullback_in_trend,bullish,0.9892,495.85,0.002319,-0.008188,True,False,20.29,neutral,up,True,-0.010714,0.004925,69.38,B,7.078,7.795,8.667,4.75,6.036
2026-02-17,XLE,pullback_in_trend,bullish,0.9167,53.75,0.019163,0.025116,True,True,20.29,neutral,up,True,0.002051,0.127071,70.68,B,7.747,7.795,8.667,4.5,6.036
2026-02-17,XLV,pullback_in_trend,bullish,0.9768,157.37,0.001906,0.003177,True,True,20.29,neutral,up,True,0.006717,0.010466,69.41,B,7.09,7.795,8.667,4.75,6.036
2026-02-17,XLB,pullback_in_trend,bullish,0.9234,52.7,0.006072,0.012524,True,True,20.29,neutral,up,True,0.009966,0.08258,71.47,B,7.464,7.795,8.667,5.5,6.036
2026-02-17,UNH,pullback_in_trend,bearish,0.969,289.09,-0.003079,-0.052371,True,True,20.29,neutral,up,True,0.048567,-0.126669,67.53,B,6.338,7.795,8.667,4.75,6.036
2026-02-18,IWM,pullback_in_trend,bullish,0.9867,263.99,0.002311,0.002235,True,True,19.62,neutral,up,True,-0.008153,0.00537,71.73,B+,7.076,7.839,8.667,6.25,6.036
2026-02-18,DIA,pullback_in_trend,bullish,0.9827,497.0,-0.005272,-0.004386,False,False,19.62,neutral,up,True,-0.009763,0.024996,72.04,B+,7.199,7.839,8.667,6.25,6.036
2026-02-18,XLV,pullback_in_trend,bullish,0.9727,157.67,-0.0026,0.001015,False,True,19.62,neutral,up,True,0.015065,0.014607,72.94,B+,7.109,7.839,8.667,7.0,6.036
2026-02-18,XLP,pullback_in_trend,bullish,0.9246,88.04,-0.004203,0.011018,False,True,19.62,neutral,up,True,0.010212,0.068966,72.86,B+,7.376,7.839,8.667,6.5,6.036
2026-02-18,NVDA,pullback_in_trend,bullish,0.9839,187.98,-0.000426,0.040323,False,True,19.62,neutral,down,True,-0.00297,0.055652,71.43,B,7.405,7.839,8.667,5.5,6.036
2026-02-18,TSLA,compression_breakout,bearish,0.8492,411.32,0.000948,0.014782,False,False,19.62,neutral,down,False,-0.032666,-0.018915,68.64,B,7.039,7.839,8.667,4.25,6.036
2026-02-18,V,compression_breakout,bearish,0.8175,320.3,-0.004277,-0.022822,True,True,19.62,neutral,flat,True,-0.023982,-0.016942,71.77,B,7.989,7.839,8.667,4.75,6.036
2026-02-18,V,pullback_in_trend,bearish,0.9596,320.3,-0.004277,-0.022822,True,True,19.62,neutral,flat,True,-0.023982,-0.016942,68.98,B,6.873,7.839,8.667,4.75,6.036
2026-02-18,COST,pullback_in_trend,bullish,0.9621,996.08,-0.008293,-0.001325,False,False,19.62,neutral,up,True,0.025586,0.032999,72.45,B+,7.211,7.839,8.667,6.5,6.036
2026-02-18,UNH,pullback_in_trend,bearish,0.967,288.2,0.006003,-0.013879,False,True,19.62,neutral,flat,True,0.054828,-0.148421,65.0,B,6.334,7.839,8.667,3.0,6.036
