setup_date,ticker,setup_strength,vix_at_setup,contract_symbol,expiration,strike,dte,entry_price,exit_price,exit_reason,hold_days,gross_pnl,fees_slippage,net_pnl,cumulative_pnl
2026-02-18,V,0.8175,19.62,V     260918P00320000,2026-09-18,320.0,212,21.4,24.8,time,5,340.0,13.0,327.0,327.0
2026-02-19,V,0.9127,20.23,V     260918P00320000,2026-09-18,320.0,211,22.91,23.5,time,5,59.0,13.0,46.0,373.0
2026-02-20,IWM,0.8651,19.09,IWM   260918C00265000,2026-09-18,265.0,210,19.645,17.46,time,5,-218.5,13.0,-231.5,141.5
2026-02-20,V,0.9365,19.09,V     260918P00320000,2026-09-18,320.0,210,22.91,24.0,time,5,109.0,13.0,96.0,237.5
2026-02-25,IWM,0.9603,17.93,IWM   260918C00265000,2026-09-18,265.0,205,19.325,18.5,time,5,-82.5,13.0,-95.5,142.0
2026-02-26,IWM,0.9603,18.63,IWM   260918C00265000,2026-09-18,265.0,204,20.06,15.41,time,5,-465.0,13.0,-478.0,-336.0
2026-02-27,QQQ,0.8651,19.86,QQQ   260918P00605000,2026-09-18,605.0,203,36.6,40.95,time,5,435.0,13.0,422.0,86.0
2026-02-27,XLY,0.9524,19.86,XLY   260918P00116000,2026-09-18,116.0,203,7.205,8.31,time,5,110.5,13.0,97.5,183.5
2026-03-02,IWM,0.9603,21.44,IWM   260918C00265000,2026-09-18,265.0,200,19.175,12.45,time,5,-672.5,13.0,-685.5,-502.0
2026-03-02,QQQ,0.873,21.44,QQQ   260918P00610000,2026-09-18,610.0,200,37.855,38.0,time,5,14.5,13.0,1.5,-500.5
2026-03-04,GOOGL,0.8968,21.15,GOOGL 260918P00305000,2026-09-18,305.0,198,29.1,27.4,time,5,-170.0,13.0,-183.0,-683.5
2026-03-05,SPY,0.9365,23.75,SPY   260918P00715000,2026-09-18,715.0,197,47.535,56.24,time,5,870.5,13.0,857.5,174.0
2026-03-05,QQQ,0.8968,23.75,QQQ   260918P00610000,2026-09-18,610.0,197,37.67,42.57,time,5,490.0,13.0,477.0,651.0
2026-03-05,XLY,0.9444,23.75,XLY   260918P00116000,2026-09-18,116.0,197,7.25,7.45,time,5,20.0,13.0,7.0,658.0
2026-03-05,AMD,0.881,23.75,AMD   260918P00220000,2026-09-18,220.0,197,40.65,42.77,time,5,212.0,13.0,199.0,857.0
2026-03-05,GOOGL,0.9921,23.75,GOOGL 260918P00300000,2026-09-18,300.0,197,29.03,26.95,time,5,-208.0,13.0,-221.0,636.0
2026-03-09,XLY,0.9762,25.5,XLY   260918P00116000,2026-09-18,116.0,193,9.15,9.6,time,5,45.0,13.0,32.0,668.0
2026-03-09,META,0.8651,25.5,META  260918P00650000,2026-09-18,650.0,193,73.3,72.65,time,5,-65.0,13.0,-78.0,590.0
2026-03-10,SPY,0.9921,24.93,SPY   260918P00715000,2026-09-18,715.0,192,55.74,52.84,time,5,-290.0,13.0,-303.0,287.0
2026-03-10,QQQ,0.9683,24.93,QQQ   260918P00610000,2026-09-18,610.0,192,36.83,38.18,time,5,135.0,13.0,122.0,409.0
2026-03-10,XLY,0.9762,24.93,XLY   260918P00116000,2026-09-18,116.0,192,7.475,9.6,time,5,212.5,13.0,199.5,608.5
2026-03-10,AMD,0.9762,24.93,AMD   260918P00220000,2026-09-18,220.0,192,39.845,41.7,time,5,185.5,13.0,172.5,781.0
2026-03-10,GOOGL,0.9762,24.93,GOOGL 260918P00305000,2026-09-18,305.0,192,27.055,25.35,time,5,-170.5,13.0,-183.5,597.5
2026-03-10,META,0.8968,24.93,META  260918P00650000,2026-09-18,650.0,192,60.8,68.15,time,5,735.0,13.0,722.0,1319.5
2026-03-11,SPY,0.9921,24.23,SPY   260918P00715000,2026-09-18,715.0,191,51.64,52.84,time,5,120.0,13.0,107.0,1426.5
2026-03-11,QQQ,0.9524,24.23,QQQ   260918P00610000,2026-09-18,610.0,191,37.65,42.55,time,5,490.0,13.0,477.0,1903.5
2026-03-11,XLY,0.9762,24.23,XLY   260918P00116000,2026-09-18,116.0,191,7.475,9.6,time,5,212.5,13.0,199.5,2103.0
2026-03-11,AMD,0.9524,24.23,AMD   260918P00220000,2026-09-18,220.0,191,39.55,40.35,time,5,80.0,13.0,67.0,2170.0
2026-03-11,GOOGL,0.9365,24.23,GOOGL 260918P00305000,2026-09-18,305.0,191,27.075,26.25,time,5,-82.5,13.0,-95.5,2074.5
2026-03-11,META,0.8968,24.23,META  260918P00650000,2026-09-18,650.0,191,62.5,75.01,time,5,1251.0,13.0,1238.0,3312.5
2026-03-13,SPY,0.8333,27.19,SPY   260918P00715000,2026-09-18,715.0,189,60.98,70.77,time,5,979.0,13.0,966.0,4278.5
2026-03-13,QQQ,0.9683,27.19,QQQ   260918P00595000,2026-09-18,595.0,189,36.75,42.79,time,5,604.0,13.0,591.0,4869.5
2026-03-13,XLY,0.8968,27.19,XLY   260918P00110000,2026-09-18,110.0,189,6.65,7.69,time,5,104.0,13.0,91.0,4960.5
2026-03-13,AMD,0.9603,27.19,AMD   260918P00220000,2026-09-18,220.0,189,43.585,40.16,time,5,-342.5,13.0,-355.5,4605.0
2026-03-13,GOOGL,0.9683,27.19,GOOGL 260918P00300000,2026-09-18,300.0,189,27.1,28.18,time,5,108.0,13.0,95.0,4700.0
2026-03-16,AMD,0.9603,23.51,AMD   260918P00220000,2026-09-18,220.0,186,41.675,37.55,time,5,-412.5,13.0,-425.5,4274.5
2026-03-16,GOOGL,0.9841,23.51,GOOGL 260918P00305000,2026-09-18,305.0,186,27.8,28.05,time,5,25.0,13.0,12.0,4286.5
2026-03-16,V,0.8175,23.51,V     260918P00310000,2026-09-18,310.0,186,23.43,22.55,time,5,-88.0,13.0,-101.0,4185.5
2026-03-17,SPY,0.8175,22.37,SPY   260918P00715000,2026-09-18,715.0,185,52.4,70.77,time,5,1837.0,13.0,1824.0,6009.5
2026-03-17,QQQ,0.9921,22.37,QQQ   260918P00605000,2026-09-18,605.0,185,36.115,45.13,time,5,901.5,13.0,888.5,6898.0
2026-03-17,XLY,0.9127,22.37,XLY   260918P00116000,2026-09-18,116.0,185,9.6,9.6,time,5,0.0,13.0,-13.0,6885.0
2026-03-17,AMD,0.9683,22.37,AMD   260918P00220000,2026-09-18,220.0,185,41.525,37.15,time,5,-437.5,13.0,-450.5,6434.5
2026-03-17,META,0.8016,22.37,META  260918P00610000,2026-09-18,610.0,185,51.55,65.4,time,5,1385.0,13.0,1372.0,7806.5
2026-03-17,V,0.8254,22.37,V     260918P00310000,2026-09-18,310.0,185,22.095,24.25,time,5,215.5,13.0,202.5,8009.0
2026-03-18,AMD,0.9683,25.09,AMD   260918P00220000,2026-09-18,220.0,184,40.49,31.45,time,5,-904.0,13.0,-917.0,7092.0
2026-03-18,GOOGL,0.9921,25.09,GOOGL 260918P00305000,2026-09-18,305.0,184,25.65,33.45,time,5,780.0,13.0,767.0,7859.0
2026-03-19,QQQ,0.9683,24.06,QQQ   260918P00595000,2026-09-18,595.0,183,38.8,45.78,time,5,698.0,13.0,685.0,8544.0
2026-03-19,XLY,0.8492,24.06,XLY   260918P00110000,2026-09-18,110.0,183,8.025,7.1,time,5,-92.5,13.0,-105.5,8438.5
2026-03-19,GOOGL,0.9921,24.06,GOOGL 260918P00305000,2026-09-18,305.0,183,26.52,33.45,time,5,693.0,13.0,680.0,9118.5
2026-03-20,AMD,0.8889,26.78,AMD   260918P00220000,2026-09-18,220.0,182,39.91,40.75,time,5,84.0,13.0,71.0,9189.5
2026-03-23,AMD,0.9524,26.15,AMD   260918P00220000,2026-09-18,220.0,179,37.25,41.35,time,5,410.0,13.0,397.0,9586.5
2026-03-23,GOOGL,0.9762,26.15,GOOGL 260918P00300000,2026-09-18,300.0,179,25.14,37.71,target,4,1257.0,13.0,1244.0,10830.5
2026-03-24,V,0.873,26.95,V     260918P00305000,2026-09-18,305.0,178,21.875,23.05,time,5,117.5,13.0,104.5,10935.0
2026-03-25,QQQ,0.873,25.33,QQQ   260918P00590000,2026-09-18,590.0,177,36.185,37.16,time,5,97.5,13.0,84.5,11019.5
2026-03-25,XLY,0.8016,25.33,XLY   260918P00110000,2026-09-18,110.0,177,7.1,7.17,time,5,7.0,13.0,-6.0,11013.5
2026-03-25,AAPL,0.9365,25.33,AAPL  260918P00255000,2026-09-18,255.0,177,19.54,18.35,time,5,-119.0,13.0,-132.0,10881.5
2026-03-25,GOOGL,0.8889,25.33,GOOGL 260918P00290000,2026-09-18,290.0,177,25.785,22.5,time,5,-328.5,13.0,-341.5,10540.0
2026-03-25,V,0.873,25.33,V     260918P00305000,2026-09-18,305.0,177,21.8,23.35,time,5,155.0,13.0,142.0,10682.0
2026-03-26,AAPL,0.9921,27.44,AAPL  260918P00255000,2026-09-18,255.0,176,19.2,18.45,time,5,-75.0,13.0,-88.0,10594.0
2026-03-26,V,0.8651,27.44,V     260918P00305000,2026-09-18,305.0,176,21.725,23.45,time,5,172.5,13.0,159.5,10753.5
2026-03-30,DIA,0.881,30.61,DIA   260918P00450000,2026-09-18,450.0,172,23.165,16.95,time,5,-621.5,13.0,-634.5,10119.0
2026-03-30,AAPL,0.9921,30.61,AAPL  260918P00245000,2026-09-18,245.0,172,18.475,15.12,time,5,-335.5,13.0,-348.5,9770.5
2026-03-31,V,0.9444,25.25,V     260918P00300000,2026-09-18,300.0,171,21.475,16.65,time,5,-482.5,13.0,-495.5,9275.0
2026-04-01,IWM,0.8571,24.54,IWM   260918P00250000,2026-09-18,250.0,170,16.235,10.75,time,5,-548.5,13.0,-561.5,8713.5
2026-04-01,AAPL,0.9365,24.54,AAPL  260918P00255000,2026-09-18,255.0,170,18.365,15.95,time,5,-241.5,13.0,-254.5,8459.0
2026-04-02,IWM,0.8016,23.87,IWM   260918P00250000,2026-09-18,250.0,169,17.62,10.84,time,5,-678.0,13.0,-691.0,7768.0
2026-04-02,AAPL,0.9206,23.87,AAPL  260918P00255000,2026-09-18,255.0,169,19.465,15.42,time,5,-404.5,13.0,-417.5,7350.5
2026-04-02,V,0.9921,23.87,V     260918P00300000,2026-09-18,300.0,169,21.325,18.15,time,5,-317.5,13.0,-330.5,7020.0
2026-04-06,V,0.9841,24.17,V     260918P00305000,2026-09-18,305.0,165,21.825,19.45,time,5,-237.5,13.0,-250.5,6769.5
2026-04-07,V,0.9762,25.78,V     260918P00305000,2026-09-18,305.0,164,22.075,16.6,time,5,-547.5,13.0,-560.5,6209.0
2026-04-29,AAPL,0.9206,18.81,AAPL  260918C00270000,2026-09-18,270.0,142,19.31,28.965,target,2,965.5,13.0,952.5,7161.5
2026-04-30,AAPL,0.9206,16.89,AAPL  260918C00270000,2026-09-18,270.0,141,21.13,31.695,target,5,1056.5,13.0,1043.5,8205.0
2026-05-04,IWM,0.8333,18.29,IWM   260918C00280000,2026-09-18,280.0,137,16.39,20.34,time,5,395.0,13.0,382.0,8587.0
2026-05-06,AAPL,0.873,17.39,AAPL  260918C00290000,2026-09-18,290.0,135,16.74,25.11,target,5,837.0,13.0,824.0,9411.0
2026-05-07,SPY,0.9841,17.08,SPY   260918C00730000,2026-09-18,730.0,134,35.795,45.9,time,5,1010.5,13.0,997.5,10408.5
2026-05-07,AAPL,0.8413,17.08,AAPL  260918C00285000,2026-09-18,285.0,134,22.01,28.4,time,5,639.0,13.0,626.0,11034.5
2026-05-08,DIA,0.9286,17.19,DIA   260918C00505000,2026-09-18,505.0,133,17.27,15.87,time,5,-140.0,13.0,-153.0,10881.5
2026-05-08,IWM,0.9286,17.19,IWM   260918C00285000,2026-09-18,285.0,133,15.99,12.37,time,5,-362.0,13.0,-375.0,10506.5
2026-05-08,XLI,0.9365,17.19,XLI   260918C00173000,2026-09-18,173.0,133,10.7,10.18,time,5,-52.0,13.0,-65.0,10441.5
2026-05-11,DIA,0.9206,18.38,DIA   260918C00505000,2026-09-18,505.0,130,16.525,14.6,time,5,-192.5,13.0,-205.5,10236.0
2026-05-11,IWM,0.9286,18.38,IWM   260918C00285000,2026-09-18,285.0,130,17.305,10.91,time,5,-639.5,13.0,-652.5,9583.5
2026-05-11,SPY,0.9921,18.38,SPY   260918C00740000,2026-09-18,740.0,130,33.51,30.97,time,5,-254.0,13.0,-267.0,9316.5
2026-05-12,DIA,0.9206,17.99,DIA   260918C00505000,2026-09-18,505.0,129,17.13,15.12,time,5,-201.0,13.0,-214.0,9102.5
2026-05-12,SPY,0.9921,17.99,SPY   260918C00740000,2026-09-18,740.0,129,30.835,28.01,time,5,-282.5,13.0,-295.5,8807.0
2026-05-12,XLI,0.9921,17.99,XLI   260918C00175000,2026-09-18,175.0,129,8.375,6.29,time,5,-208.5,13.0,-221.5,8585.5
2026-05-13,DIA,0.8968,17.87,DIA   260918C00505000,2026-09-18,505.0,128,17.13,15.12,time,5,-201.0,13.0,-214.0,8371.5
2026-05-13,IWM,0.8175,17.87,IWM   260918C00285000,2026-09-18,285.0,128,14.685,12.59,time,5,-209.5,13.0,-222.5,8149.0
2026-05-13,XLI,0.9841,17.87,XLI   260918C00173000,2026-09-18,173.0,128,9.98,9.98,time,5,0.0,13.0,-13.0,8136.0
