strategy,market_ticker,close_time,side,strike,spot_at_open,hours_to_expiry,market_implied_prob,fair_prob,edge,position_size,won,gross_pnl,kalshi_fee,net_pnl,cum_pnl
A,KXBTC-26APR0814-T77799.99,2026-04-08T18:00:00+00:00,above,77799.99,71101.98,168.0,0.01,0.3225,0.3125,50.0,False,-50.0,0.0,-50.0,-50.0
B,KXBTC-26APR0814-T77799.99,2026-04-08T18:00:00+00:00,above,77799.99,71101.98,168.0,0.01,0.2396,0.2296,50.0,False,-50.0,0.0,-50.0,-50.0
AB,KXBTC-26APR0814-T77799.99,2026-04-08T18:00:00+00:00,above,77799.99,71101.98,168.0,0.01,0.2604,0.2504,50.0,False,-50.0,0.0,-50.0,-50.0
A,KXBTC-26APR0810-T59200,2026-04-08T14:00:00+00:00,above,59200.0,70901.42,168.0,0.01,0.5504,0.5404,50.0,False,-50.0,0.0,-50.0,-100.0
B,KXBTC-26APR0810-T59200,2026-04-08T14:00:00+00:00,above,59200.0,70901.42,168.0,0.01,0.5504,0.5404,50.0,False,-50.0,0.0,-50.0,-100.0
AB,KXBTC-26APR0810-T59200,2026-04-08T14:00:00+00:00,above,59200.0,70901.42,168.0,0.01,0.5504,0.5404,50.0,False,-50.0,0.0,-50.0,-100.0
A,KXBTC-26APR0807-T77799.99,2026-04-08T11:00:00+00:00,above,77799.99,71690.4,168.0,0.01,0.3331,0.3231,50.0,False,-50.0,0.0,-50.0,-150.0
B,KXBTC-26APR0807-T77799.99,2026-04-08T11:00:00+00:00,above,77799.99,71690.4,168.0,0.01,0.2541,0.2441,50.0,False,-50.0,0.0,-50.0,-150.0
AB,KXBTC-26APR0807-T77799.99,2026-04-08T11:00:00+00:00,above,77799.99,71690.4,168.0,0.01,0.2738,0.2638,50.0,False,-50.0,0.0,-50.0,-150.0
A,KXBTC-26APR0816-T77799.99,2026-04-08T20:00:00+00:00,above,77799.99,71387.32,168.0,0.01,0.3277,0.3177,50.0,False,-50.0,0.0,-50.0,-200.0
B,KXBTC-26APR0816-T77799.99,2026-04-08T20:00:00+00:00,above,77799.99,71387.32,168.0,0.01,0.2451,0.2351,50.0,False,-50.0,0.0,-50.0,-200.0
AB,KXBTC-26APR0816-T77799.99,2026-04-08T20:00:00+00:00,above,77799.99,71387.32,168.0,0.01,0.2658,0.2558,50.0,False,-50.0,0.0,-50.0,-200.0
A,KXBTC-26APR0811-T59200,2026-04-08T15:00:00+00:00,above,59200.0,71309.99,168.0,0.01,0.6987,0.6887,50.0,False,-50.0,0.0,-50.0,-250.0
B,KXBTC-26APR0811-T59200,2026-04-08T15:00:00+00:00,above,59200.0,71309.99,168.0,0.01,0.8245,0.8145,50.0,False,-50.0,0.0,-50.0,-250.0
AB,KXBTC-26APR0811-T59200,2026-04-08T15:00:00+00:00,above,59200.0,71309.99,168.0,0.01,0.793,0.783,50.0,False,-50.0,0.0,-50.0,-250.0
A,KXBTC-26APR0803-T77799.99,2026-04-08T07:00:00+00:00,above,77799.99,71641.01,168.0,0.01,0.3411,0.3311,50.0,False,-50.0,0.0,-50.0,-300.0
B,KXBTC-26APR0803-T77799.99,2026-04-08T07:00:00+00:00,above,77799.99,71641.01,168.0,0.01,0.3411,0.3311,50.0,False,-50.0,0.0,-50.0,-300.0
AB,KXBTC-26APR0803-T77799.99,2026-04-08T07:00:00+00:00,above,77799.99,71641.01,168.0,0.01,0.3411,0.3311,50.0,False,-50.0,0.0,-50.0,-300.0
A,KXBTC-26APR0813-T77799.99,2026-04-08T17:00:00+00:00,above,77799.99,71903.97,168.0,0.01,0.337,0.327,50.0,False,-50.0,0.0,-50.0,-350.0
B,KXBTC-26APR0813-T77799.99,2026-04-08T17:00:00+00:00,above,77799.99,71903.97,168.0,0.01,0.2595,0.2495,50.0,False,-50.0,0.0,-50.0,-350.0
AB,KXBTC-26APR0813-T77799.99,2026-04-08T17:00:00+00:00,above,77799.99,71903.97,168.0,0.01,0.2789,0.2689,50.0,False,-50.0,0.0,-50.0,-350.0
A,KXBTC-26APR0813-T59200,2026-04-08T17:00:00+00:00,above,59200.0,71903.97,168.0,0.01,0.7089,0.6989,50.0,False,-50.0,0.0,-50.0,-400.0
B,KXBTC-26APR0813-T59200,2026-04-08T17:00:00+00:00,above,59200.0,71903.97,168.0,0.01,0.8261,0.8161,50.0,False,-50.0,0.0,-50.0,-400.0
AB,KXBTC-26APR0813-T59200,2026-04-08T17:00:00+00:00,above,59200.0,71903.97,168.0,0.01,0.7968,0.7868,50.0,False,-50.0,0.0,-50.0,-400.0
A,KXBTC-26APR0806-T59200,2026-04-08T10:00:00+00:00,above,59200.0,71470.12,168.0,0.01,0.7014,0.6914,50.0,False,-50.0,0.0,-50.0,-450.0
B,KXBTC-26APR0806-T59200,2026-04-08T10:00:00+00:00,above,59200.0,71470.12,168.0,0.01,0.8258,0.8158,50.0,False,-50.0,0.0,-50.0,-450.0
AB,KXBTC-26APR0806-T59200,2026-04-08T10:00:00+00:00,above,59200.0,71470.12,168.0,0.01,0.7947,0.7847,50.0,False,-50.0,0.0,-50.0,-450.0
