ticker,spot,label,bullish_score,bearish_score,net_score,setups_firing,snapshot_close,snapshot_high_52w,snapshot_low_52w,snapshot_volume_5d_avg
LI,12.819999694824219,BEAR,0,55.0,-55.0,"sma_stack(1.00), proximity_52w(1.00)",12.82,32.03,12.82,3114806
NFLX,72.87999725341797,BEAR,0,54.8,-54.8,"sma_stack(1.00), proximity_52w(0.71), volume_surge(0.36)",72.88,134.12,71.81,64306211
LRCX,409.5400085449219,BULL,54.0,0,54.0,"proximity_52w(0.99), sma_stack(0.97)",409.54,409.75,90.29,14638806
AMAT,640.1799926757812,BULL,53.5,0,53.5,"sma_stack(0.97), proximity_52w(0.97)",640.18,641.18,154.47,12168614
PDD,78.11000061035156,BEAR,0,53.1,-53.1,"sma_stack(1.00), proximity_52w(0.92)",78.11,139.41,77.81,8034433
KLAC,269.1600036621094,BULL,52.9,0,52.9,"sma_stack(0.97), proximity_52w(0.94)",269.16,269.9,83.22,16515633
MU,1211.3800048828125,BULL,51.8,0,51.8,"proximity_52w(0.96), sma_stack(0.93)",1211.38,1213.56,103.38,49848796
T,22.100000381469727,BEAR,0,51.0,-51.0,"sma_stack(0.95), proximity_52w(0.90)",22.1,29.79,21.99,59938396
CAT,1022.280029296875,BULL,50.8,0,50.8,"proximity_52w(0.98), sma_stack(0.88)",1022.28,1023.25,357.73,3625073
BSX,44.33000183105469,BEAR,0,50.3,-50.3,"sma_stack(0.95), proximity_52w(0.87)",44.33,109.5,44.05,19173536
ADI,445.4800109863281,BULL,50.1,0,50.1,"proximity_52w(0.98), sma_stack(0.85)",445.48,445.83,218.37,5725923
CMCSA,22.31999969482422,BEAR,0,50.0,-50.0,"sma_stack(0.97), proximity_52w(0.83)",22.32,34.36,22.13,42779830
SMH,668.9099731445312,BULL,49.8,0,49.8,"proximity_52w(0.91), sma_stack(0.90)",668.91,671.83,257.12,10071831
ICE,131.33999633789062,BEAR,0,49.2,-49.2,"sma_stack(1.00), proximity_52w(0.77)",131.34,189.35,129.83,5325185
IWM,298.17999267578125,BULL,49.1,0,49.1,"proximity_52w(0.91), sma_stack(0.88)",298.18,299.49,206.81,28482081
BABA,104.97000122070312,BEAR,0,48.2,-48.2,"sma_stack(0.97), proximity_52w(0.76)",104.97,192.67,103.71,12880112
TXN,332.2799987792969,BULL,47.1,0,47.1,"proximity_52w(0.90), sma_stack(0.82)",332.28,334.03,152.73,10580319
ASML,1929.25,BULL,46.8,0,46.8,"sma_stack(0.97), proximity_52w(0.70)",1929.25,1958.0,683.48,2129060
MS,227.08999633789062,BULL,46.8,0,46.8,"sma_stack(0.97), proximity_52w(0.70)",227.09,230.47,130.9,7688431
INTC,140.94000244140625,BULL,46.5,0,46.5,"proximity_52w(0.93), sma_stack(0.78)",140.94,141.45,18.97,147816213
PLTR,119.5,BEAR,0,46.2,-46.2,"proximity_52w(0.95), sma_stack(0.75)",119.5,207.52,119.2,43166765
XLI,181.8000030517578,BULL,46.0,0,46.0,"proximity_52w(0.88), sma_stack(0.80)",181.8,182.92,141.28,8454062
TZA,3.9100000858306885,BEAR,0,45.6,-45.6,"sma_stack(0.90), proximity_52w(0.74)",3.91,13.56,3.86,305937211
GS,1106.3699951171875,BULL,45.1,0,45.1,"sma_stack(0.95), proximity_52w(0.66)",1106.37,1125.0,630.01,2573216
ISRG,402.95001220703125,BEAR,0,45.0,-45.0,"sma_stack(0.93), proximity_52w(0.69)",402.95,603.88,396.68,2752689
JCI,148.2100067138672,BULL,44.3,0,44.3,"proximity_52w(0.84), sma_stack(0.78)",148.21,149.38,101.25,4678860
CME,245.1999969482422,BEAR,0,43.5,-43.5,"proximity_52w(0.95), sma_stack(0.66)",245.2,329.16,244.56,4669585
C,145.6699981689453,BULL,43.4,0,43.4,"sma_stack(0.88), proximity_52w(0.69)",145.67,147.96,77.51,15748980
QQQ,737.9500122070312,BULL,43.2,0,43.2,"sma_stack(0.85), proximity_52w(0.71)",737.95,748.65,523.65,47029398
HUBS,172.8000030517578,BEAR,0,43.2,-43.2,"sma_stack(0.82), proximity_52w(0.74)",172.8,568.16,170.54,1968639
ETN,435.7799987792969,BULL,43.1,0,43.1,"proximity_52w(0.96), sma_stack(0.64)",435.78,436.74,311.92,2529572
RIOT,28.6299991607666,BULL,43.0,0,43.0,"sma_stack(0.90), compression(0.64)",28.63,30.32,8.87,12785177
TSM,467.6700134277344,BULL,42.8,0,42.8,"sma_stack(0.90), proximity_52w(0.63)",467.67,476.31,206.2,14501517
BAC,57.369998931884766,BULL,42.1,0,42.1,"proximity_52w(0.79), sma_stack(0.75)",57.37,57.98,44.75,42871694
DIA,517.0800170898438,BULL,41.9,0,41.9,"sma_stack(0.79), proximity_52w(0.73)",517.08,524.17,419.62,6019889
AMD,551.6300048828125,BULL,41.7,0,41.7,"sma_stack(0.90), proximity_52w(0.59)",551.63,562.99,126.82,31606611
D,68.04000091552734,BULL,41.7,0,41.7,"sma_stack(0.86), proximity_52w(0.64)",68.04,69.28,54.25,9268163
SPGI,407.3900146484375,BEAR,0,41.2,-41.2,"compression(0.86), sma_stack(0.66)",407.39,579.05,381.61,2018857
STLA,6.380000114440918,BEAR,0,41.2,-41.2,"sma_stack(0.80), proximity_52w(0.69)",6.38,12.22,6.28,21216493
MCD,270.1000061035156,BEAR,0,40.9,-40.9,"proximity_52w(1.00), sma_stack(0.53)",270.1,341.75,270.08,4737007
CVS,101.30000305175781,BULL,40.8,0,40.8,"sma_stack(0.82), proximity_52w(0.64)",101.3,103.12,58.5,9503906
UUP,28.360000610351562,BULL,39.8,0,39.8,"proximity_52w(0.94), sma_stack(0.55)",28.36,28.45,26.4,2689538
EQIX,1115.93994140625,BULL,39.6,0,39.6,"proximity_52w(0.77), sma_stack(0.68)",1115.94,1128.68,710.52,678655
MET,87.55999755859375,BULL,39.1,0,39.1,"sma_stack(0.86), proximity_52w(0.53)",87.56,89.62,67.33,4821371
CRM,150.1199951171875,BEAR,0,39.0,-39.0,"sma_stack(0.75), proximity_52w(0.66)",150.12,276.8,147.58,25637664
MA,484.0899963378906,BEAR,0,38.9,-38.9,"compression(0.79), sma_stack(0.64)",484.09,601.77,464.52,4005151
VXX,22.520000457763672,BEAR,0,38.7,-38.7,"sma_stack(0.90), proximity_52w(0.47)",22.52,55.57,21.92,11626833
GE,355.1199951171875,BULL,38.5,0,38.5,"sma_stack(0.90), proximity_52w(0.46)",355.12,364.7,238.62,5314243
ROST,236.97000122070312,BULL,38.2,0,38.2,"sma_stack(0.85), proximity_52w(0.51)",236.97,242.81,124.49,2774686
SPG,214.57000732421875,BULL,37.6,0,37.6,"sma_stack(0.88), proximity_52w(0.45)",214.57,220.44,155.92,2820684
FTNT,145.38999938964844,BULL,37.4,0,37.4,"sma_stack(0.95), proximity_52w(0.36)",145.39,150.07,70.12,8417405
UNH,406.67999267578125,BULL,36.8,0,36.8,"sma_stack(0.78), proximity_52w(0.54)",406.68,415.98,234.6,7019579
SQQQ,36.93000030517578,BEAR,0,36.7,-36.7,"sma_stack(0.90), proximity_52w(0.39)",36.93,115.8,35.8,59044491
ON,131.5500030517578,BULL,36.2,0,36.2,"sma_stack(0.80), proximity_52w(0.49)",131.55,134.92,44.56,12883227
ADBE,194.89999389648438,BEAR,0,36.0,-36.0,"sma_stack(0.78), proximity_52w(0.51)",194.9,392.58,190.12,10271032
LIN,516.7100219726562,BULL,35.2,0,35.2,"proximity_52w(0.65), sma_stack(0.64)",516.71,525.87,387.78,2911934
MARA,14.850000381469727,BULL,34.8,0,34.8,"sma_stack(0.70), compression(0.55)",14.85,23.45,6.66,41411916
XLK,192.14999389648438,BULL,34.1,0,34.1,"sma_stack(0.88), proximity_52w(0.32)",192.15,198.73,119.38,12091960
TMUS,180.05999755859375,BEAR,0,33.7,-33.7,"sma_stack(0.85), proximity_52w(0.33)",180.06,261.56,174.02,7097365
XPEV,13.350000381469727,BEAR,0,33.3,-33.3,"sma_stack(0.75), proximity_52w(0.43)",13.35,28.24,12.97,8153546
ANET,174.55999755859375,BULL,33.2,0,33.2,"sma_stack(0.78), proximity_52w(0.40)",174.56,179.8,85.58,8102829
JPM,331.4800109863281,BULL,32.3,0,32.3,"proximity_52w(0.60), sma_stack(0.58)",331.48,338.09,272.11,12318405
MCHP,102.70999908447266,BULL,31.9,0,31.9,"sma_stack(0.75), proximity_52w(0.38)",102.71,105.91,48.52,11967644
AAL,16.079999923706055,BULL,31.6,0,31.6,"sma_stack(0.75), proximity_52w(0.37)",16.08,16.59,10.09,149714132
PWR,740.1400146484375,BULL,31.4,0,31.4,"sma_stack(0.60), compression(0.53)",740.14,788.75,358.38,1381450
NKE,43.189998626708984,BEAR,0,30.5,-30.5,"sma_stack(0.60), compression(0.50)",43.19,80.17,41.35,21193194
WDAY,113.04000091552734,BEAR,0,30.4,-30.4,"sma_stack(0.57), proximity_52w(0.53)",113.04,249.85,110.36,6414410
HUM,360.7200012207031,BULL,30.0,0,30.0,sma_stack(1.00),360.72,380.86,163.11,1945726
MRVL,307.8599853515625,NEUTRAL,29.2,0,29.2,sma_stack(0.97),307.86,329.88,61.44,92471663
MSFT,367.3399963378906,NEUTRAL,0,28.7,-28.7,"sma_stack(0.62), proximity_52w(0.40)",367.34,555.45,356.28,41911405
CARR,71.8499984741211,NEUTRAL,27.8,0,27.8,sma_stack(0.93),71.85,81.09,50.24,5284932
PANW,286.3999938964844,NEUTRAL,27.8,0,27.8,sma_stack(0.93),286.4,302.95,139.57,7233916
UVXY,25.860000610351562,NEUTRAL,0,27.8,-27.8,sma_stack(0.93),25.86,116.8,24.68,6237054
TRV,310.6099853515625,NEUTRAL,27.5,0,27.5,"proximity_52w(0.80), volume_surge(0.37)",310.61,313.66,249.19,2849461
ARM,407.7200012207031,NEUTRAL,27.0,0,27.0,sma_stack(0.90),407.72,452.7,100.02,16312448
COIN,164.83999633789062,NEUTRAL,0,27.0,-27.0,sma_stack(0.90),164.84,444.65,139.36,8364651
CIFR,28.139999389648438,NEUTRAL,27.0,0,27.0,sma_stack(0.90),28.14,30.14,3.29,24860507
